Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
1.408332697,34.7879284,27.84981924,1767.1,732093,-36.50833333,63.555,1784
0.97240591,34.81758952,27.90393797,1767.4,732094,-36.50833333,63.555,1784
1.11197781,34.83978098,27.9123298,1767,732095,-36.50833333,63.555,1784
1.47963089,34.80571632,27.8589076,1767.6,732096,-36.50833333,63.555,1784
1.751025361,34.81217243,27.84373905,1767.2,732097,-36.50833333,63.555,1784
2.113768327,34.82268271,27.82349542,1766.7,732098,-36.50833333,63.555,1784
1.32689239,34.81016067,27.87350976,1766.1,732099,-36.50833333,63.555,1784
0.902263019,34.77946403,27.87792901,1765.6,732100,-36.50833333,63.555,1784
0.875423124,34.7914885,27.88935674,1765.4,732101,-36.50833333,63.555,1784
1.470426768,34.80307677,27.85746207,1765.6,732102,-36.50833333,63.555,1784
1.370911027,34.79708741,27.85986581,1766.1,732103,-36.50833333,63.555,1784
1.475383181,34.80394347,27.85779547,1766.5,732104,-36.50833333,63.555,1784
1.895631167,34.81033524,27.83104211,1766.9,732105,-36.50833333,63.555,1784
1.330932689,34.81554637,27.87754593,1767.2,732106,-36.50833333,63.555,1784
1.982529788,34.84440807,27.85146078,1767.9,732107,-36.50833333,63.555,1784
1.132705425,34.85712914,27.92484298,1767.3,732108,-36.50833333,63.555,1784
1.439310382,34.8443638,27.89286433,1767.2,732109,-36.50833333,63.555,1784
1.688953975,34.84753562,27.87682975,1767.6,732110,-36.50833333,63.555,1784
